id,code,name,wilaya_id,wilaya_name,moughataa_id,moughataa_name,address,latitude,longitude,phone,email,opening_hours,status,tier,float_balance,max_float,license_number,license_expiry,created_at,updated_at
1,NKC-N-001,Agence Nouakchott-Nord 1,1,Nouakchott-Nord,2,,"Rue 52, undefined",NaN,NaN,+22236689433,agence.nkcn001@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,340000,10000000,LIC-000001,2025-04-28,2022-11-03T21:34:40.639Z,2024-09-02T01:18:13.678Z
2,NKC-N-002,Agence Nouakchott-Nord 2,1,Nouakchott-Nord,2,,"Rue 45, undefined",NaN,NaN,+22248839752,agence.nkcn002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,4224000,10000000,LIC-000002,2025-10-27,2023-03-22T02:57:55.544Z,2024-02-11T23:46:26.161Z
3,NKC-N-003,Agence Nouakchott-Nord 3,1,Nouakchott-Nord,2,,"Rue 27, undefined",NaN,NaN,+22224768375,agence.nkcn003@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,114000,5000000,LIC-000003,2026-07-19,2022-10-22T15:27:04.589Z,2024-11-07T13:40:56.720Z
4,NKC-N-004,Agence Nouakchott-Nord 4,1,Nouakchott-Nord,3,,"Rue 84, undefined",NaN,NaN,+22225139473,agence.nkcn004@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,186000,5000000,LIC-000004,2026-01-05,2023-10-01T01:54:43.106Z,2024-03-28T22:23:27.111Z
5,NKC-N-005,Agence Nouakchott-Nord 5,1,Nouakchott-Nord,1,,"Rue 62, undefined",NaN,NaN,+22236607900,agence.nkcn005@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,1420000,5000000,LIC-000005,2025-11-28,2020-12-15T09:42:27.867Z,2024-10-24T04:05:57.142Z
6,NKC-N-006,Agence Nouakchott-Nord 6,1,Nouakchott-Nord,1,,"Rue 54, undefined",NaN,NaN,+22222355679,agence.nkcn006@nafadpay.mr,08:00-18:00,INACTIVE,BRONZE,2177000,2000000,LIC-000006,2026-05-18,2021-08-30T06:09:49.907Z,2024-01-09T05:36:05.707Z
7,NKC-N-007,Agence Nouakchott-Nord 7,1,Nouakchott-Nord,3,,"Rue 76, undefined",NaN,NaN,+22224529847,agence.nkcn007@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,2483000,2000000,LIC-000007,2026-03-01,2021-04-26T02:26:57.112Z,2024-07-16T05:03:41.475Z
8,NKC-N-008,Agence Nouakchott-Nord 8,1,Nouakchott-Nord,1,,"Rue 58, undefined",NaN,NaN,+22232953352,agence.nkcn008@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,711000,2000000,LIC-000008,2025-10-19,2021-11-10T14:03:55.945Z,2024-10-11T19:55:04.630Z
9,NKC-N-009,Agence Nouakchott-Nord 9,1,Nouakchott-Nord,2,,"Rue 90, undefined",NaN,NaN,+22223067674,agence.nkcn009@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,3569000,2000000,LIC-000009,2026-01-03,2022-02-25T16:10:31.342Z,2024-06-12T14:02:30.601Z
10,NKC-N-010,Agence Nouakchott-Nord 10,1,Nouakchott-Nord,3,,"Rue 52, undefined",NaN,NaN,+22246621122,agence.nkcn010@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,2629000,2000000,LIC-000010,2025-03-03,2021-04-29T16:08:06.941Z,2024-12-27T14:57:02.932Z
